Task,N,16,std_16,32,std_32,64,std_64,128,std_128,256,std_256,512,std_512,nodr,std_nodr,95% CI lower peak
age,50,0.5559,0.0181,0.5769,0.0248,0.5869,0.0213,0.5917,0.0224,0.5921,0.0233,0.5901,0.0251,0.5578,0.0528,0.5778
ext,50,0.0563,0.0529,0.0685,0.0522,0.0723,0.0512,0.0751,0.0517,0.0754,0.0514,0.0754,0.0513,0.0632,0.0648,0.0436
ope,50,0.1117,0.0882,0.1021,0.081,0.1015,0.0747,0.1095,0.0795,0.1096,0.0794,0.1109,0.0793,0.1034,0.068,0.0617
gen,50,0.6296,0.0284,0.6779,0.0412,0.6889,0.03,0.6754,0.0486,0.6902,0.0327,0.6889,0.0335,0.5976,0.1201,0.6703
gen2,50,0.7199,0.0321,0.7218,0.0476,0.7403,0.0287,0.7193,0.0434,0.7336,0.0259,0.7167,0.0528,0.7126,0.0264,0.7225
bsag,50,0.3201,0.0261,0.3098,0.0332,0.3263,0.0273,0.2865,0.0457,0.284,0.1014,0.3205,0.0394,0.2959,0.0512,0.3094
sui,50,0.3723,0.0374,0.3673,0.041,0.3902,0.0395,0.3851,0.0386,0.3735,0.0372,,,0.3495,0.0385,0.3658
,,,,,,,,,,,,,,,,
age,100,0.6007,0.0365,0.6356,0.0376,0.6425,0.0348,0.6503,0.0334,0.6428,0.0572,0.6456,0.0553,0.6494,0.0446,0.6296
ext,100,0.1163,0.0593,0.1292,0.0577,0.1372,0.0582,0.1389,0.0581,0.1391,0.0583,0.1391,0.0582,0.1226,0.0664,0.103
ope,100,0.1677,0.0329,0.174,0.0389,0.1811,0.0345,0.1823,0.0336,0.1828,0.0332,0.1829,0.0331,0.1567,0.041,0.1624
gen,100,0.6793,0.0137,0.7356,0.0174,0.7351,0.0216,0.7469,0.012,0.7469,0.0127,0.7499,0.0117,0.7531,0.0168,0.7427
gen2,100,0.7602,0.0175,0.77,0.0139,0.7791,0.0211,0.777,0.025,0.7954,0.0158,0.7999,0.0119,0.7878,0.0229,0.7925
bsag,100,0.3139,0.05,0.3547,0.014,0.3197,0.0593,0.3234,0.0548,0.3363,0.0216,0.309,0.0542,0.3252,0.0448,0.346
sui,100,0.3983,0.0296,0.389,0.0544,0.386,0.0321,0.3922,0.0274,0.4007,0.0366,,,0.3806,0.0271,0.3837
,,,,,,,,,,,,,,,,
age,200,0.621,0.0373,0.671,0.0135,0.6924,0.0087,0.6901,0.0353,0.694,0.0328,0.6951,0.0303,0.706,0.0184,0.6946
ext,200,0.1609,0.0405,0.1835,0.0403,0.1978,0.0414,0.2005,0.0416,0.2016,0.0418,0.2016,0.0417,0.1794,0.0521,0.1758
ope,200,0.1937,0.0397,0.2045,0.0416,0.2222,0.0444,0.2245,0.0429,0.2256,0.0434,0.2257,0.0432,0.209,0.0481,0.1989
gen,200,0.7069,0.0086,0.7678,0.0082,0.7811,0.01,0.7891,0.0092,0.7893,0.0075,0.7904,0.0085,0.7979,0.0113,0.7909
